muni,average_unit_price
Acton,770428.7815514164
Arlington,826515.8471963529
Ashland,567728.1866052231
Bedford,925733.2370398426
Bellingham,442764.40242139035
Belmont,1280897.8200033454
Beverly,573963.042764233
Bolton,584236.1016301159
Boston,1499495.3034162712
Boxborough,732694.7511596469
Braintree,571260.8996394763
Brookline,1631995.1905670406
Burlington,966413.0136031783
Cambridge,4109805.4560739147
Canton,885680.0025731211
Carlisle,828858.3031444524
Chelsea,331941.8769992727
Cohasset,940073.1146295711
Concord,1320947.4331128295
Danvers,538545.8110304908
Dedham,581677.7782323725
Dover,1433554.1600562197
Duxbury,1105457.0054435276
Essex,555572.6735864663
Everett,358876.5105209242
Foxborough,528528.4302001321
Framingham,485242.12141598784
Franklin,596769.0499480894
Gloucester,690850.4508803133
Hamilton,664582.900349201
Hanover,668678.2656771949
Hingham,1102509.7495083103
Holbrook,389033.43035316124
Holliston,506099.73102693295
Hopkinton,765676.2031246187
Hudson,465337.4193602103
Hull,501221.06961173314
Ipswich,620527.5962165908
Lexington,1293050.892024679
Lincoln,1319377.4525862962
Littleton,550027.715627708
Lynn,439315.07464089995
Lynnfield,808153.7860322706
Malden,490309.3577913221
Manchester,1359518.8010812728
Marblehead,830621.0078741293
Marlborough,374612.44345221197
Marshfield,559420.4046566713
Maynard,450064.76339524635
Medfield,728084.2341223961
Medford,611097.4500135801
Medway,837587.9516446105
Melrose,709487.6410535505
Middleton,749163.199609803
Milford,420273.1369769419
Millis,499285.42225936684
Milton,1004578.0133269036
Nahant,949918.6843545745
Natick,739105.9716479714
Needham,1085346.633682343
Newton,1280654.6928185634
Norfolk,618478.2939730741
North Reading,701676.8923233828
Norwell,704019.4384861294
Norwood,503752.7814244167
Peabody,516690.74049202906
Pembroke,520843.99713038275
Quincy,479587.05435426004
Randolph,450390.5779902626
Reading,719353.256563152
Revere,391085.9893962219
Rockland,492962.2853598259
Rockport,713332.1917942157
Salem,482288.3521810414
Saugus,545379.5149600857
Scituate,767898.0996348519
Sharon,670195.9743909449
Sherborn,876169.650186814
Somerville,624482.3321738559
Southborough,781414.2848208593
Stoneham,586825.4970362692
Stoughton,501002.8956775556
Stow,640501.9749108054
Sudbury,703625.2255376759
Swampscott,652798.9676199459
Topsfield,701674.0772309403
Wakefield,704157.6950120969
Walpole,540165.2724769791
Waltham,815531.2730074862
Watertown,765594.6745159505
Wayland,834847.3838547824
Wellesley,1827750.6523198264
Wenham,637801.3468186479
Weston,1691007.5660812124
Westwood,837184.9029990379
Weymouth,452868.9546099428
Wilmington,641371.7899861658
Winchester,1269062.4177549111
Winthrop,505000.5556628086
Woburn,568710.0122086037
Wrentham,513818.94146408257
