Municipality,Year,TotalUnits,TOWN_ID,Single-Family,Other,Multi-Family,Condo,Mobile Home
Acton,1985,1605,2,157,51,0,1397,0
Acton,1986,1605,2,157,51,0,1397,0
Acton,1987,1605,2,157,51,0,1397,0
Acton,1988,1607,2,157,53,0,1397,0
Acton,1989,1622,2,157,53,0,1412,0
Acton,1990,1622,2,157,53,0,1412,0
Acton,1991,1622,2,157,53,0,1412,0
Acton,1992,1622,2,157,53,0,1412,0
Acton,1993,1622,2,157,53,0,1412,0
Acton,1994,1726,2,157,53,0,1516,0
Acton,1995,1786,2,157,53,0,1576,0
Acton,1996,1810,2,157,53,0,1600,0
Acton,1997,1810,2,157,53,0,1600,0
Acton,1998,1810,2,157,53,0,1600,0
Acton,1999,1810,2,157,53,0,1600,0
Acton,2000,1894,2,157,137,0,1600,0
Acton,2001,1894,2,157,137,0,1600,0
Acton,2002,1896,2,157,139,0,1600,0
Acton,2003,1896,2,157,139,0,1600,0
Acton,2004,1908,2,157,139,0,1612,0
Acton,2005,1928,2,157,139,0,1632,0
Acton,2006,1943,2,157,139,0,1647,0
Acton,2007,1963,2,157,139,0,1667,0
Acton,2008,1970,2,157,143,0,1670,0
Acton,2009,1982,2,157,143,0,1682,0
Acton,2010,1988,2,157,143,0,1688,0
Acton,2011,2003,2,157,143,0,1703,0
Acton,2012,2037,2,157,143,0,1737,0
Acton,2013,2042,2,157,148,0,1737,0
Acton,2014,2071,2,157,148,0,1766,0
Acton,2015,2140,2,157,148,0,1835,0
Acton,2016,2321,2,157,148,0,2016,0
Acton,2017,2333,2,157,148,0,2028,0
Acton,2018,2335,2,157,148,0,2030,0
Acton,2019,2342,2,157,148,0,2037,0
Acton,2020,2350,2,157,148,0,2045,0
Acton,2021,2350,2,157,148,0,2045,0
Acton,2022,2350,2,157,148,0,2045,0
Acton,2023,2362,2,157,148,0,2057,0
Acton,2024,2362,2,157,148,0,2057,0
Acton,2025,2362,2,157,148,0,2057,0
Arlington,1985,19409,10,7554,3760,4672,3423,0
Arlington,1986,19437,10,7570,3763,4677,3427,0
Arlington,1987,19487,10,7597,3763,4677,3450,0
Arlington,1988,19674,10,7624,3789,4677,3584,0
Arlington,1989,19737,10,7628,3801,4677,3631,0
Arlington,1990,19759,10,7639,3806,4677,3637,0
Arlington,1991,19766,10,7645,3807,4677,3637,0
Arlington,1992,19776,10,7654,3808,4677,3637,0
Arlington,1993,19784,10,7661,3809,4677,3637,0
Arlington,1994,19793,10,7670,3809,4677,3637,0
Arlington,1995,19803,10,7675,3814,4677,3637,0
Arlington,1996,19812,10,7679,3815,4677,3641,0
Arlington,1997,19835,10,7689,3818,4677,3651,0
Arlington,1998,19866,10,7695,3827,4677,3667,0
Arlington,1999,19905,10,7703,3850,4677,3675,0
Arlington,2000,20048,10,7708,3984,4677,3679,0
Arlington,2001,20164,10,7713,4070,4677,3704,0
Arlington,2002,20318,10,7732,4191,4677,3718,0
Arlington,2003,20337,10,7737,4191,4677,3732,0
Arlington,2004,20457,10,7754,4217,4677,3809,0
Arlington,2005,20508,10,7774,4218,4677,3839,0
Arlington,2006,20526,10,7787,4219,4677,3843,0
Arlington,2007,20566,10,7797,4221,4679,3869,0
Arlington,2008,20595,10,7812,4221,4679,3883,0
Arlington,2009,20627,10,7833,4224,4679,3891,0
Arlington,2010,20655,10,7843,4226,4679,3907,0
Arlington,2011,20684,10,7854,4226,4679,3925,0
Arlington,2012,20821,10,7861,4346,4679,3935,0
Arlington,2013,21108,10,7874,4436,4679,4119,0
Arlington,2014,21142,10,7889,4436,4679,4138,0
Arlington,2015,21188,10,7913,4436,4679,4160,0
Arlington,2016,21223,10,7925,4436,4679,4183,0
Arlington,2017,21275,10,7949,4437,4679,4210,0
Arlington,2018,21318,10,7966,4444,4679,4229,0
Arlington,2019,21348,10,7981,4455,4679,4233,0
Arlington,2020,21419,10,7996,4503,4681,4239,0
Arlington,2021,21460,10,8017,4503,4687,4253,0
Arlington,2022,21475,10,8031,4504,4687,4253,0
Arlington,2023,21497,10,8031,4526,4687,4253,0
Arlington,2024,21497,10,8031,4526,4687,4253,0
Arlington,2025,21497,10,8031,4526,4687,4253,0
Ashland,1985,3380,14,2379,90,162,749,0
Ashland,1986,3589,14,2442,92,162,893,0
Ashland,1987,3704,14,2471,92,162,979,0
Ashland,1988,3761,14,2520,93,163,985,0
Ashland,1989,3813,14,2563,93,164,993,0
Ashland,1990,3857,14,2600,94,164,999,0
Ashland,1991,3934,14,2671,95,164,1003,1
Ashland,1992,4012,14,2749,95,164,1003,1
Ashland,1993,4078,14,2815,95,164,1003,1
Ashland,1994,4172,14,2905,95,164,1007,1
Ashland,1995,4235,14,2967,95,165,1007,1
Ashland,1996,4422,14,3022,95,165,1139,1
Ashland,1997,4529,14,3129,95,165,1139,1
Ashland,1998,4602,14,3199,96,165,1141,1
Ashland,1999,4674,14,3271,96,165,1141,1
Ashland,2000,4847,14,3365,97,165,1219,1
Ashland,2001,4933,14,3446,97,165,1223,2
Ashland,2002,5231,14,3512,97,165,1455,2
Ashland,2003,5276,14,3555,98,166,1455,2
Ashland,2004,5313,14,3577,98,166,1470,2
Ashland,2005,5440,14,3595,98,166,1579,2
Ashland,2006,5469,14,3622,98,166,1581,2
Ashland,2007,5518,14,3641,98,166,1611,2
