fid,city,year_built,units
56811,Boston,1910,1
56812,Boston,1900,1
56814,Boston,1920,2
56816,Boston,1950,1
56818,Boston,1905,3
56819,Boston,1905,3
56820,Boston,1905,3
56821,Boston,1948,1
56823,Boston,1899,1
56824,Boston,1900,2
56825,Boston,1890,1
56826,Boston,1904,2
56827,Boston,1886,1
56828,Boston,1910,2
56829,Boston,1900,3
56830,Boston,1965,12
56831,Boston,1900,3
56833,Boston,1905,1
56834,Boston,1900,3
56835,Boston,1905,3
56839,Boston,1960,1
56840,Boston,1922,2
56841,Boston,1935,2
56843,Boston,1963,1
56844,Boston,1905,3
56845,Boston,1940,1
56846,Boston,1890,1
56848,Boston,2004,1
56849,Boston,1989,1
56850,Boston,1899,1
56851,Boston,1950,1
56853,Boston,1920,3
56854,Boston,1910,3
56855,Boston,1900,3
56857,Boston,1910,1
56858,Boston,1920,2
56859,Boston,1954,1
56861,Boston,1900,1
56863,Boston,1935,1
56864,Boston,1880,3
56865,Boston,1905,5
56866,Boston,1930,1
56867,Boston,1910,1
56868,Boston,1940,1
56869,Boston,1925,1
56870,Boston,1910,2
56871,Boston,1905,3
56872,Boston,1920,2
56873,Boston,1900,3
56874,Boston,2004,1
56875,Boston,1915,3
56876,Boston,1905,3
56877,Boston,1910,11
56878,Boston,1930,6
56879,Boston,1999,15
56880,Boston,1910,3
56881,Boston,1999,9
56882,Boston,1908,1
56883,Boston,1945,2
56884,Boston,1899,1
56885,Boston,1875,1
56886,Boston,1905,3
56887,Boston,1900,8
56888,Boston,2004,1
56889,Boston,2004,1
56890,Boston,1910,2
56891,Boston,1925,1
56893,Boston,1900,1
56894,Boston,1880,2
56895,Boston,1900,2
56897,Boston,1940,1
56898,Boston,1920,2
56899,Boston,1987,2
56900,Boston,1900,1
56901,Boston,1915,2
56902,Boston,1905,1
56904,Boston,1910,3
56905,Boston,1925,2
56906,Boston,1905,3
56907,Boston,1900,1
56908,Boston,1910,2
56910,Boston,1905,3
56911,Boston,1920,2
56912,Boston,1999,9
56913,Boston,1899,9
56914,Boston,1922,1
56915,Boston,1915,3
56916,Boston,1920,3
56917,Boston,1920,7
56918,Boston,1890,1
56919,Boston,1908,1
56920,Boston,1875,3
56923,Boston,1992,1
56924,Boston,1995,3
56925,Boston,1948,1
56926,Boston,1964,1
56927,Boston,1896,1
56928,Boston,1900,2
56929,Boston,1945,1
56930,Boston,1960,1
56931,Boston,2015,1
56932,Boston,1920,3
56933,Boston,1920,2
56934,Boston,1940,1
56935,Boston,1900,2
56936,Boston,1905,1
56937,Boston,1900,1
56938,Boston,1895,1
56939,Boston,1890,1
56940,Boston,1885,1
56941,Boston,1910,2
56942,Boston,1920,18
56943,Boston,1910,3
56944,Boston,1900,4
56945,Boston,1910,3
56946,Boston,1910,3
56947,Boston,1900,4
56948,Boston,1900,2
56949,Boston,1920,40
56950,Boston,1900,2
56951,Boston,1910,8
56952,Boston,1910,12
56953,Boston,1890,1
56954,Boston,1900,2
56955,Boston,1890,1
56956,Boston,1910,1
56957,Boston,1905,5
56959,Boston,1889,1
56960,Boston,1960,1
56962,Boston,1950,1
56963,Boston,1927,1
56964,Boston,1899,1
56965,Boston,1910,1
56966,Boston,1940,1
56968,Boston,1905,3
56969,Boston,1915,2
56971,Boston,2000,1
56972,Boston,1992,1
56975,Boston,1900,2
56976,Boston,1910,2
56977,Boston,1905,1
56979,Boston,1900,1
56980,Boston,1982,2
56981,Boston,1900,3
56982,Boston,1905,1
56983,Boston,1890,2
56984,Boston,1900,1
56985,Boston,1905,3
56986,Boston,1910,2
56987,Boston,1905,3
56988,Boston,1905,4
56989,Boston,1900,3
56990,Boston,1920,3
56991,Boston,2000,1
56992,Boston,1905,3
56993,Boston,1890,2
56994,Boston,1959,1
56995,Boston,1900,2
56996,Boston,1954,1
56997,Boston,1999,9
56998,Boston,1935,1
57000,Boston,1920,2
57001,Boston,1910,5
57002,Boston,1910,1
57003,Boston,1920,2
57004,Boston,1957,1
57005,Boston,1920,2
57006,Boston,1910,5
57007,Boston,1905,3
57008,Boston,1900,3
57009,Boston,1950,1
57010,Boston,1905,3
57011,Boston,1905,3
57012,Boston,1945,1
57013,Boston,1900,6
57014,Boston,1920,1
57015,Boston,1900,1
57016,Boston,1910,1
57017,Boston,1880,1
57018,Boston,1915,3
57019,Boston,1953,1
57020,Boston,1999,32
57021,Boston,1897,2
57022,Boston,1875,3
57023,Boston,1885,2
57024,Boston,2004,6
57025,Boston,1905,2
57026,Boston,1935,2
57027,Boston,1920,2
57028,Boston,1945,1
57029,Boston,1900,1
57030,Boston,1905,3
57031,Boston,1895,2
57032,Boston,1900,2
57033,Boston,1995,1
57035,Boston,1924,1
57036,Boston,1915,1
57037,Boston,1900,1
57038,Boston,1905,3
57039,Boston,1935,1
57040,Boston,1925,3
57041,Boston,1959,1
57042,Boston,1933,1
57043,Boston,1900,1
57044,Boston,1920,2
57045,Boston,1950,1
57046,Boston,1920,3
57047,Boston,1890,2
57048,Boston,1900,1
57049,Boston,1920,5
57050,Boston,1910,3
57051,Boston,1910,3
57052,Boston,1900,1
57053,Boston,1934,3
57054,Boston,1910,2
57055,Boston,1920,2
57058,Boston,1870,1
57059,Boston,1927,1
57061,Boston,1922,3
57062,Boston,1900,3
57063,Boston,1910,1
57064,Boston,1899,3
57065,Boston,1900,1
57066,Boston,1899,1
57067,Boston,1890,1
57068,Boston,1910,2
57069,Boston,1890,1
57070,Boston,1920,1
57071,Boston,1960,18
57072,Boston,1912,3
57073,Boston,1905,3
57074,Boston,1950,1
57075,Boston,1935,1
57076,Boston,1906,2
57078,Boston,1890,2
57079,Boston,1860,1
57080,Boston,1930,2
57081,Boston,1899,10
57082,Boston,1930,4
57083,Boston,1890,3
57084,Boston,1900,1
57085,Boston,1900,2
57087,Boston,1909,1
57088,Boston,1905,3
