muni,total_units,total_value,avg_price_per_unit,mean_lot_size_sqft,mean_far,compliance_rate,lot_25%,lot_50%,lot_75%
Rockland,7511.0,3046012450.0,405540.2010384769,31222.841083563442,0.138927956692784,0.9445628997867804,9929.303936176682,14267.54041548595,23161.496184182724
Peabody,25287.0,10884370100.0,430433.4282437616,26725.182590600714,0.026598991808593597,0.9865338757188946,6268.7112010106475,10373.28333601455,16561.4983190316
Lincoln,3121.0,3408964573.0,1092266.7648189683,174975.1143809722,0.03841253074117936,0.9868766404199475,47205.91249453952,82113.29326976356,134260.56190467175
Maynard,5580.0,2024477510.0,362809.58960573474,39276.23872534835,0.18305903310782348,0.9537972855905285,7909.729668939415,11539.7704839712,19251.8697043061
Winthrop,8394.0,3758545605.0,447765.73802716227,12429.129489247265,0.7799225371940444,0.9805696621770811,3999.51872421243,5060.80229779813,6592.62077021129
Belmont,755.0,1134981250.0,1503286.4238410597,96845.37763848285,0.4603748490179239,0.311284046692607,6482.00216734283,11110.4519958272,28825.1154565252
Carlisle,2217.0,1798963866.0,811440.6251691475,190714.97402292772,0.029439081146231727,0.9808411214953271,86079.73433990675,96475.49126248184,175320.792952299
Southborough,5050.0,3593165018.0,711517.8253465346,106457.06793097111,0.0701240430703121,0.9691243013042321,24508.75389585,41866.1464325847,63026.900484886
Westwood,5730.0,5020952066.0,876256.905061082,53365.83933720381,0.21258117714252528,0.9964525029562475,12636.765175768176,23758.438669169802,42485.55216132087
Wakefield,13736.0,7066098372.0,514421.8383808969,20542.960339385067,0.22135110991791193,0.9800796812749004,7501.494009044325,10950.29411173185,14947.381204580575
Hingham,8351.0,9845983770.0,1179018.5331098072,65758.6393153778,0.2381236098734149,0.9843023255813953,12914.7255357254,21362.77122041085,40049.02613288758
Manchester,2662.0,3116274427.0,1170651.5503380916,82961.20307585761,0.1550665681619466,0.9666525960320811,10125.9902709005,27244.5577891372,67013.0213393978
Wrentham,4701.0,2772034724.0,589669.1606041268,99362.82613381714,0.12688309081421392,0.9755986316989738,23788.7744778456,42655.266260757,85783.7310984423
Malden,30939.0,10465163368.0,338251.5067713889,9773.482720145947,0.43960071420367997,0.9381104676290085,3916.26592926985,5125.52102619344,7186.13318429702
Needham,9200.0,8941395400.0,971890.804347826,19590.208831802353,0.11425691123335116,0.9836739353807512,9893.060197642335,11174.7804410329,15089.31687256015
Milton,10957.0,9792889579.0,893756.4642694168,38900.41027145484,0.22684874502571128,0.9918641669614432,5907.51812427295,8239.44306482006,20171.0924192879
Foxborough,7341.0,4465943900.0,608356.341097943,56051.67157345093,0.1801553950929351,0.9506172839506173,18678.98397693225,28334.35809228205,46422.395486028254
Littleton,5489.0,2774017417.0,505377.5582073237,95824.29905001252,0.06679884221278683,0.9894905186200594,13842.5349569759,36842.4470986122,57347.4509672698
Everett,18616.0,7704296187.0,413853.46943489474,12099.474293462057,0.9026251540077507,0.8993143727780599,3281.81934504879,4025.20445234289,5229.376061201795
Marlborough,18057.0,6755496830.0,374120.6640084178,53309.42179170532,0.26294289611929533,0.9766388077736381,9650.433760525772,15918.5743963974,29823.12661103355
Woburn,18071.0,10966609608.0,606862.3544906203,27001.547306919685,0.31836231481468913,0.9737952866690116,8248.45063951232,12031.66087266805,16293.103092790076
Ashland,6462.0,3166026670.0,489945.32188177033,35480.632262283245,0.06029388383502431,0.9759441905220111,15639.3783393814,26724.0189056237,33682.990801598
Holliston,5525.0,2641644710.0,478125.73936651583,52812.32886724344,0.07459713217846325,0.9830328738069989,19056.11205686495,27715.2274878734,47925.2212462077
Holbrook,4749.0,1658180500.0,349164.1398189092,39443.60429644949,0.10749234823545774,0.903478081909858,5910.083173602256,9934.91638706813,20364.2165642808
Milford,15775.0,4803746384.0,304516.41103011096,42906.77723304974,0.16346009812768825,0.9404693760732684,9398.258706703076,13654.2848503571,24724.4807062453
Hull,6822.0,2872571500.0,421074.6848431545,13524.647355473073,0.2916901966298942,0.974826935179358,4398.326090001405,5911.43818524951,9079.813034981966
Randolph,12271.0,5552104604.0,452457.38766196725,24530.390745139823,0.24627534531399045,0.9862001521243073,9292.020662039064,12284.0412920795,15465.93229835705
Pembroke,8812.0,4011631212.0,455246.3926463913,86683.80417220607,0.06363745184569966,0.9558734023128423,18556.866791170425,40444.0230592238,52271.0799474509
Arlington,23098.0,13944205397.0,603697.5234652351,8832.150370516172,0.38009178611901534,0.9782401524777636,4902.841331835948,6096.29980134403,8059.615903072572
Somerville,37778.0,23443620098.0,620562.7639896236,6242.173573985986,1.3036583372471238,0.9850712508482243,2985.96533291235,3657.39736588649,4736.233287181235
Millis,3821.0,1947492654.0,509681.4064381052,96782.05143034553,0.12390635015740492,0.9641383687718185,16220.26154437905,28041.0625804184,63341.3806668007
Chelsea,23306.0,6228990300.0,267269.81464000687,10025.229546253802,1.2135192333869984,0.9784293193717277,2388.3701252472347,3778.89647247856,5666.301532058785
Danvers,16140.0,6187949138.0,383392.1399008674,39279.657333139636,0.17278651800931522,0.9210328403108549,9355.821615444913,15929.694227699201,23722.4383919775
Bedford,7501.0,5254990647.0,700572.0099986668,81429.15767762394,0.10166566108129954,0.9652634000460087,16986.3406898534,30722.2039724019,41327.9863002371
Boston,355778.0,264626913202.0,743797.8548476859,11975.20389072866,0.2858701244649076,0.9466723462950567,2587.603807914655,4287.59321524828,6156.888725601735
Cambridge,70013.0,91305220048.0,1304118.093039864,11205.324616075837,1.6060923252251735,0.9749363462762571,2750.59508056403,4161.0617427058205,6377.0270540912725
Melrose,13189.0,7177889950.0,544233.0692243536,13481.292442120532,0.5135008895086571,0.9909674352270026,5350.8015710621,7135.6563797135,9330.980221807513
Norfolk,3729.0,2481860905.0,665556.6921426656,103758.18317246047,0.09675241222052493,0.9812628336755647,31190.310049410553,42984.4169102357,65321.330648947594
Revere,30249.0,9187573397.0,303731.47532149823,10122.18595189524,0.4351031012873333,0.9564770932069511,3466.08006365211,4618.5061116569395,6500.17209786041
Bellingham,8051.0,3295783332.0,409363.2259346665,76651.88808929402,0.09045280527955006,0.9479656346247366,11946.3855017964,20709.8492861478,41488.9337943841
Saugus,13781.0,6523815830.0,473392.0491981714,28637.144041212345,0.18773631772957622,0.9192713723866694,6266.760919686871,9804.81696010528,15735.155049372599
Lynnfield,5508.0,4055255523.0,736248.2794117647,57700.15056783572,0.1176301111524429,0.9808481532147743,14997.292098994025,27151.4450363882,40805.50264993702
Sherborn,1724.0,1481608671.0,859401.7813225058,232243.2696882224,0.03011679998065711,0.9643617021276596,56561.10609443873,98942.69613721676,177707.20203024926
Duxbury,6085.0,6616644000.0,1087369.5973705833,70350.22905715875,0.14452980929773948,0.9273033077929359,30122.8508989588,41839.2781849929,55701.7588769773
Reading,11432.0,7080332942.0,619343.3294261722,31537.74847836541,0.16978363812620245,0.9681504221028396,9736.110825932532,13530.64527735105,20897.741950760876
Watertown,20084.0,11500720329.0,572630.9663911571,12025.135864115098,0.4538493681049209,0.890780513357779,4718.169681335185,5551.11832355613,7129.268111365195
Sudbury,8360.0,5126996046.0,613277.0389952153,99279.19587756007,0.06135516838996026,0.9734958111195735,32503.1797303296,41774.0716139556,62545.9900704083
North Reading,5202.0,3185499800.0,612360.5920799692,45964.74873158304,0.05556927138953549,0.9796610169491525,17820.8447221237,30850.4357915499,44100.1033237683
Winchester,9784.0,9709090600.0,992343.683565004,19746.337485447493,0.2670906069433231,0.962654996353027,8335.274508383744,11663.3114175913,17824.79348105525
Concord,7037.0,9064841886.0,1288168.5215290608,107380.15521604307,0.20794896695607576,0.9819078947368421,17593.303010021773,29968.90500337285,74831.15366287148
Marshfield,14529.0,7366898297.0,507047.8558056301,62202.337418617644,0.12181153982467885,0.9613935969868174,7565.536382974938,19942.31991475225,44259.0461885481
Swampscott,7364.0,3798640147.0,515839.2377783813,15740.75168043987,0.2977837110069778,0.9573449401523395,5065.1440275440455,7370.50861346015,11691.6195058293
Ipswich,8149.0,4219984489.0,517853.04810406186,166364.31397690772,0.1548825497203135,0.9341362438840798,9457.693903550893,18353.47921953375,57663.61724675795
Franklin,16754.0,7549168796.0,450589.0411841948,69964.91111745122,0.08755961320218963,0.9529578033515042,17251.6117794003,27821.181159270847,44012.646164727776
Beverly,21732.0,9040601793.0,416004.1318332413,32514.689474779916,0.24577621247900522,0.9639210936148123,5946.057000980255,9654.934794364015,16475.0129770819
Boxborough,3955.0,1702889048.0,430566.1309734513,152807.8480600465,0.04716157787506432,0.9120502569960023,41581.7375849943,59791.7245755769,119511.8952901795
Hamilton,3034.0,2030558535.0,669267.8098220171,141880.04048139055,0.09533372072684812,0.99056945955749,11197.997132689,25387.9135608404,69781.0084794564
Lexington,15199.0,16727107869.0,1100540.0269096652,35211.60956348059,0.2886871415557382,0.8843405381561535,9004.334063927981,15747.3977806732,28574.91231722895
Medfield,5146.0,3249346677.0,631431.5345899728,89031.13022769812,0.08414329849325489,0.9788716043649872,20762.380243988402,31939.0580713707,50767.953616242696
Salem,25002.0,8818148494.0,352697.72394208465,20874.622120437965,0.7142390284130228,0.9059945504087193,4029.3745902669953,5875.096993717535,9345.024733969167
Hopkinton,7014.0,5364620040.0,764844.6022241232,123951.86480899426,0.11914457933219126,0.9818058153375276,23632.0021791336,45531.9729418117,67787.4637841013
Natick,17109.0,11584687300.0,677110.7195043544,32594.64322824264,0.02387093429112042,0.9863286319979233,9739.89084757097,13405.0084762819,22314.8474753539
Stoughton,14154.0,5436670516.0,384108.4157128727,44319.70185356547,0.11789855142156254,0.8819829424307036,10577.5340425244,16024.895259321449,26243.877488914877
Quincy,46142.0,20054273663.0,434620.8153742794,18815.51453915791,0.6090354423776381,0.9790906880622416,4642.53001974906,5686.41260666357,8025.18486588432
Medford,25360.0,15221909535.0,600233.0258280757,9367.314117781169,0.7257984612122047,0.9863741654176318,3992.9799795062977,5132.018115547285,6836.714141772645
Dedham,10953.0,6687579300.0,610570.5560120515,28158.418655242494,0.3614197159081005,0.9866416686196391,6362.08931884263,9561.256161232495,13618.950419107925
Wilmington,8248.0,5429632500.0,658296.8598448109,45448.509128484744,0.09229802723088715,0.9699944842801985,10836.5183357212,20830.8241101586,30175.461193344
Acton,9942.0,6150731508.0,618661.3868436934,73686.235048459,0.15560768260268887,0.9659058075700665,20235.64713147155,26409.3955580318,47376.68611765537
